NORAD_CAT_ID,OBJECT_DESIGNATOR,EPOCH,INCLINATION_RAD,RAAN_RAD,ECCENTRICITY,ARG_OF_PERIGEE_RAD,MEAN_ANOMALY_RAD,MEAN_MOTION_REV_PER_DAY,REV_NUM_AT_EPOCH,BSTAR,LINE1,LINE2
56913,23083AP,2025-07-26,0.7505491742228776,3.787120130732416,0.0001431,4.8815689807682565,1.4028031503026865,0.06556049118141968,11782,-1.8419e-06,1 56913U 23083AP  25207.70951085 -.00000229  00000+0 -18419-5 0  9993,2 56913  43.0033 216.9860 0001431 279.6933  80.3747 15.02535779117821
56914,23083AQ,2025-07-26,0.7505491742228776,3.778199752925473,0.0001453,5.050942712698793,1.2334381450184086,0.06556058765449409,11783,-1.6071e-05,1 56914U 23083AQ  25207.75600946 -.00000421  00000+0 -16071-4 0  9991,2 56914  43.0033 216.4749 0001453 289.3977  70.6708 15.02537990117830
56915,23083AR,2025-07-27,0.7505421929058694,3.710625840276008,0.00012,4.868456322098023,1.4159629328627235,0.0655604213682496,11714,-1.7473000000000002e-06,1 56915U 23083AR  25208.50058695 -.00000227  00000+0 -17473-5 0  9996,2 56915  43.0029 212.6032 0001200 278.9420  81.1287 15.02534179117145
56916,23083AS,2025-07-26,0.7505264849426017,3.776065215250284,0.0001302,4.693350928903936,1.5910438914472829,0.06556071532532887,11780,-5.9895e-05,1 56916U 23083AS  25207.73936616 -.00001013  00000+0 -59895-4 0  9996,2 56916  43.0020 216.3526 0001302 268.9092  91.1601 15.02540916117803
56917,23083AT,2025-07-27,0.7505369569181136,3.728243193745639,0.0001419,4.960407248410092,1.3239718639778586,0.06556087367032525,11711,2.2112e-05,1 56917U 23083AT  25208.29116702  .00000095  00000+0  22112-4 0  9994,2 56917  43.0026 213.6126 0001419 284.2104  75.8580 15.02544545117111
56918,23083AU,2025-07-27,0.7505526648813815,3.7268905635753438,0.000148,5.092577542005119,1.191803315712084,0.06556043236382389,11711,3.6579e-05,1 56918U 23083AU  25208.28117467  .00000290  00000+0  36579-4 0  9992,2 56918  43.0035 213.5351 0001480 291.7832  68.2853 15.02534431117112
56919,23083AV,2025-07-27,0.7505369569181136,3.7148879343093784,0.0001614,4.870302880446633,1.414032598710018,0.06556010489642299,11713,7.2304e-05,1 56919U 23083AV  25208.41857196  .00000773  00000+0  72304-4 0  9990,2 56919  43.0026 212.8474 0001614 279.0478  81.0181 15.02526926117134
56920,23083AW,2025-07-26,0.7505474288936255,3.7763968278081625,0.000124,4.8437529318652945,1.4406558511199392,0.06556035604930234,11783,5.0105e-05,1 56920U 23083AW  25207.74269095  .00000473  00000+0  50105-4 0  9994,2 56920  43.0032 216.3716 0001240 277.5266  82.5435 15.02532682117835
56921,23083AX,2025-07-27,0.7505491742228776,3.7083935641627077,0.0001441,4.8409848396716315,1.4433855460700584,0.06556039296301602,11714,2.5458e-05,1 56921U 23083AX  25208.48393710  .00000140  00000+0  25458-4 0  9993,2 56921  43.0033 212.4753 0001441 277.3680  82.6999 15.02533528117146
56922,23083AY,2025-07-26,0.7505334662596096,3.7495519185832378,0.0001441,4.642544394378381,1.6418242460340577,0.065560390126856,11707,5.084e-05,1 56922U 23083AY  25207.99530533  .00000483  00000+0  50840-4 0  9998,2 56922  43.0024 214.8335 0001441 265.9982  94.0696 15.02533463117078
56923,23083AZ,2025-07-26,0.7505648821861454,3.776897737303485,0.0001333,4.808317512062055,1.4760720723014082,0.06556052953503,11783,-2.4232e-05,1 56923U 23083AZ  25207.74602142 -.00000531  00000+0 -24232-4 0  9990,2 56923  43.0042 216.4003 0001333 275.4963  84.5727 15.02536658117836
56924,23083BA,2025-07-27,0.7505352115888615,3.705517261555421,0.0001288,4.71560038620836,1.568797924801363,0.06555998782846341,11714,6.7912e-05,1 56924U 23083BA  25208.46175028  .00000714  00000+0  67912-4 0  9992,2 56924  43.0025 212.3105 0001288 270.1840  89.8855 15.02524243117142
56925,23083BB,2025-07-27,0.7505352115888615,3.712168711334771,0.0001333,4.913709218943732,1.3706856014074866,0.06556035225321122,11713,1.4194000000000002e-05,1 56925U 23083BB  25208.39749715 -.00000012  00000+0  14194-4 0  9991,2 56925  43.0025 212.6916 0001333 281.5348  78.5345 15.02532595117133
56926,23083BC,2025-07-27,0.7505404475766175,3.7440366781469363,0.0001288,4.880448479388476,1.4039515769504987,0.06556029714444009,11708,-2.3785e-06,1 56926U 23083BC  25208.06842514 -.00000236  00000+0 -23785-5 0  9993,2 56926  43.0028 214.5175 0001288 279.6291  80.4405 15.02531332117080
56927,23083BD,2025-07-27,0.7505474288936255,2.177610655799033,0.0001041,4.6976304762298255,1.5868167039989527,0.06556064193423382,11812,0.00010281,1 56927U 23083BD  25208.14357439  .00001186  00000+0  10281-3 0  9998,2 56927  43.0032 124.7679 0001041 269.1544  90.9179 15.02539234118128
56933,23084B,2025-07-27,1.702982328353191,5.998743762994314,0.0003888,6.16879817333313,0.11647978361959757,0.06757477798370759,11834,0.00047973,1 56933U 23084B   25208.36827746  .00025645  00000+0  47973-3 0  9997,2 56933  97.5737 343.7027 0003888 353.4461   6.6738 15.48699832118347
56934,23084C,2025-07-27,1.7031411533151226,5.86667993448366,0.0007737,1.0671745898149247,5.21952755580743,0.06669393203957524,11782,0.00024887,1 56934U 23084C   25208.46594297  .00006833  00000+0  24887-3 0  9998,2 56934  97.5828 336.1360 0007737  61.1446 299.0569 15.28512330117825
56939,23084H,2025-07-27,1.7026559517830684,6.17202703244932,8.56e-05,0.4251866403953466,5.860276321458092,0.06878678754340202,11897,0.00049194,1 56939U 23084H   25208.06460426  .00078183  00000+0  49194-3 0  9990,2 56939  97.5550 353.6311 0000856  24.3614 335.7691 15.76477045118972
56942,23084L,2025-07-27,1.7029404404511432,6.108622711382869,0.0002563,0.25394540616517497,6.031562934248816,0.06813354832895946,11872,0.00040388,1 56942U 23084L   25208.33784043  .00034532  00000+0  40388-3 0  9994,2 56942  97.5713 349.9983 0002563  14.5500 345.5831 15.61505905118721
56943,23084M,2025-07-27,1.7009560010916256,5.857386056216789,0.0005875,0.23071158316262644,6.0549154396405,0.06723527426868163,11835,0.0004988,1 56943U 23084M   25208.50669145  .00020466  00000+0  49880-3 0  9996,2 56943  97.4576 335.6035 0005875  13.2188 346.9211 15.40918980118359
56944,23084N,2025-07-27,1.7019456027775066,5.86157833708008,0.0003268,0.46662948348395195,5.8190132472824425,0.06674592688152202,11814,0.00043307,1 56944U 23084N   25208.54372754  .00012394  00000+0  43307-3 0  9997,2 56944  97.5143 335.8437 0003268  26.7359 333.4049 15.29703964118140
56946,23084Q,2025-07-26,1.7031586066076425,5.8829743283802785,0.0008569,0.7341989297901946,5.552297266980425,0.06678432587039515,11783,0.00026443,1 56946U 23084Q   25207.90819969  .00007747  00000+0  26443-3 0  9990,2 56946  97.5838 337.0696 0008569  42.0665 318.1232 15.30584004117837
56947,23084R,2025-07-27,1.7028898259028353,5.9582067457874945,0.0007148,1.336403844239814,4.9503489159308485,0.06737397575887055,11820,0.0005839800000000001,1 56947U 23084R   25208.37141045  .00026693  00000+0  58398-3 0  9991,2 56947  97.5684 341.3801 0007148  76.5703 283.6341 15.44097784118208
56949,23084T,2025-07-27,1.7028269940497638,5.983831669865275,0.0003889,1.1851413939572215,5.100948141097684,0.06765839086131765,11831,0.00096973,1 56949U 23084T   25208.55129516  .00055766  00000+0  96973-3 0  9996,2 56949  97.5648 342.8483 0003889  67.9036 292.2628 15.50616098118311
56950,23084U,2025-07-26,1.7031114827178389,5.856401690518665,0.000889,0.6999590605245699,5.586523173612034,0.06636492194214397,11774,0.00032277,1 56950U 23084U   25207.93386015  .00007088  00000+0  32277-3 0  9999,2 56950  97.5811 335.5471 0008890  40.1047 320.0842 15.20971974117741
56952,23084W,2025-07-26,1.703036433560003,6.0297914250580416,0.0004115,0.08470082859928481,6.200742934632383,0.06796103985479265,11839,0.0007251,1 56952U 23084W   25207.95871270  .00053593  00000+0  72510-3 0  9991,2 56952  97.5768 345.4816 0004115   4.8530 355.2764 15.57552302118392
56953,23084X,2025-07-27,1.7031481346321307,5.865637972920219,0.0009906,0.655618970877654,5.630934821758282,0.06674167508493123,11781,0.00028365000000000004,1 56953U 23084X   25208.36043774  .00008071  00000+0  28365-3 0  9998,2 56953  97.5832 336.0763 0009906  37.5642 322.6288 15.29606520117818
56955,23084Z,2025-07-27,1.7031202093640987,5.864482564955399,0.0008641,0.781467681921957,5.505087856043231,0.06637272535286287,11780,0.00042832,1 56955U 23084Z   25208.23742405  .00009482  00000+0  42832-3 0  9995,2 56955  97.5816 336.0101 0008641  44.7748 315.4183 15.21150815117806
56956,23084AA,2025-07-27,1.7030730854742948,5.861590554384844,0.0007851,0.8182679492002575,5.468216030265598,0.0663711711807972,11781,0.00040573,1 56956U 23084AA  25208.34842239  .00008967  00000+0  40573-3 0  9991,2 56956  97.5789 335.8444 0007851  46.8833 313.3057 15.21115196117814
